# scan = 7
# date = 10/22/2003
# time = 8:38:56 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scanrel m1 -3 3 .1
# builtin_command = scan m1 @(m1)+-3 @(m1)+3 0.100000
# users = MY
# local_contact = MY
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 2.000000
# def_x = m1
# def_y = detector
# col_headers = 
#   Pt.         m1       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
     14    49.3399      2.000    133.000    379.000      0.003   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     15    49.4400      2.000    131.000    424.000      0.004   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     16    49.5399      2.000    152.000    437.000      0.004   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     17    49.6400      2.000    161.000    539.000      0.005   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     18    49.7399      2.000    184.000    579.000      0.005   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     19    49.8400      2.000    170.000    636.000      0.006   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     20    49.9399      2.000    154.000    796.000      0.007   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     21    50.0400      2.000    169.000   1025.000      0.009   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     22    50.1399      2.000    190.000   1282.000      0.011   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     23    50.2399      2.000    225.000   1852.000      0.016   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     24    50.3400      2.000    232.000   2690.000      0.023   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     25    50.4399      2.000    252.000   4303.000      0.037   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     26    50.5400      2.000    298.000   6544.000      0.057   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     27    50.6399      2.000    420.000   9936.000      0.086   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     28    50.7400      2.000    585.000  13780.000      0.120   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     29    50.8399      2.000    914.000  17555.000      0.153   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     30    50.9400      2.000   1515.000  21452.000      0.187   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     31    51.0399      2.000   2058.000  22994.000      0.200   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     32    51.1399      2.000   2649.000  22550.000      0.196   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     33    51.2400      2.000   2568.000  19432.000      0.169   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     34    51.3399      2.000   2168.000  15108.000      0.131   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     35    51.4400      2.000   1586.000  10647.000      0.093   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     36    51.5399      2.000    987.000   7033.000      0.061   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     37    51.6400      2.000    663.000   4650.000      0.040   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     38    51.7399      2.000    468.000   2979.000      0.026   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     39    51.8400      2.000    365.000   2017.000      0.018   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     40    51.9399      2.000    258.000   1501.000      0.013   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     41    52.0399      2.000    229.000   1142.000      0.010   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     42    52.1400      2.000    216.000    906.000      0.008   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     43    52.2399      2.000    211.000    767.000      0.007   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     44    52.3400      2.000    193.000    612.000      0.005   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     45    52.4399      2.000    184.000    581.000      0.005   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     46    52.5400      2.000    157.000    480.000      0.004   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     47    52.6399      2.000    171.000    401.000      0.003   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     48    52.7400      2.000    148.000    368.000      0.003   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     49    52.8399      2.000    158.000    360.000      0.003   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     50    52.9399      2.000    143.000    329.000      0.003   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     51    53.0400      2.000    142.000    308.000      0.003   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     52    53.1399      2.000    127.000    227.000      0.002   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     53    53.2400      2.000    134.000    252.000      0.002   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     54    53.3399      2.000    149.000    246.000      0.002   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     55    53.4400      2.000    120.000    209.000      0.002   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     56    53.5399      2.000    138.000    188.000      0.002   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     57    53.6400      2.000    117.000    185.000      0.002   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     58    53.7399      2.000    130.000    207.000      0.002   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     59    53.8399      2.000    120.000    147.000      0.001   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     60    53.9400      2.000    114.000    169.000      0.001   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     61    54.0399      2.000    119.000    147.000      0.001   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
# Sum of Counts = 24438
# Center of Mass = 51.160386+/-0.462871
# Full Width Half-Maximum = 2.069771+/-0.079843
# 8:42:25 PM  10/22/2003   scan completed.
